model,tuning,scoring,rank,count
LR,no,ACC,29.0,10
LR,no,ACC,28.0,10
LR,no,ACC,30.0,8
LR,no,ACC,31.0,4
LR,no,AUC,0.0,169
LR,no,AUC,1.0,69
LR,no,AUC,6.0,58
LR,no,AUC,2.0,55
LR,no,AUC,13.0,51
LR,no,AUC,11.0,51
LR,no,AUC,16.0,47
LR,no,AUC,7.0,45
LR,no,AUC,4.0,45
LR,no,AUC,5.0,41
LR,no,AUC,15.0,39
LR,no,AUC,8.0,39
LR,no,AUC,3.0,38
LR,no,AUC,9.0,36
LR,no,AUC,12.0,35
LR,no,AUC,14.0,35
LR,no,AUC,10.0,33
LR,no,AUC,17.0,32
LR,no,AUC,19.0,31
LR,no,AUC,18.0,30
LR,no,AUC,20.0,30
LR,no,AUC,21.0,29
LR,no,AUC,22.0,25
LR,no,AUC,24.0,25
LR,no,AUC,23.0,24
LR,no,AUC,26.0,23
LR,no,AUC,25.0,23
LR,no,AUC,27.0,20
LR,no,AUC,28.0,18
LR,no,AUC,29.0,16
LR,no,AUC,30.0,10
LR,no,AUC,31.0,5
LR,no,F1,0.0,164
LR,no,F1,1.0,81
LR,no,F1,6.0,62
LR,no,F1,3.0,51
LR,no,F1,9.0,41
LR,no,F1,16.0,40
LR,no,F1,2.0,38
LR,no,F1,7.0,38
LR,no,F1,4.0,38
LR,no,F1,15.0,38
LR,no,F1,13.0,38
LR,no,F1,5.0,36
LR,no,F1,10.0,34
LR,no,F1,8.0,33
LR,no,F1,11.0,32
LR,no,F1,17.0,31
LR,no,F1,14.0,31
LR,no,F1,12.0,31
LR,no,F1,18.0,27
LR,no,F1,20.0,27
LR,no,F1,22.0,26
LR,no,F1,21.0,26
LR,no,F1,19.0,26
LR,no,F1,25.0,25
LR,no,F1,23.0,25
LR,no,F1,24.0,24
LR,no,F1,26.0,23
LR,no,F1,27.0,21
LR,no,F1,28.0,20
LR,no,F1,29.0,16
LR,no,F1,30.0,9
LR,no,F1,31.0,4
SVC,full,ACC,1.0,53
SVC,full,ACC,11.0,47
SVC,full,ACC,10.0,45
SVC,full,ACC,6.0,45
SVC,full,ACC,4.0,44
SVC,full,ACC,0.0,43
SVC,full,ACC,7.0,43
SVC,full,ACC,9.0,41
SVC,full,ACC,13.0,38
SVC,full,ACC,2.0,35
SVC,full,ACC,3.0,31
SVC,full,ACC,5.0,30
SVC,full,ACC,8.0,25
SVC,full,ACC,12.0,25
SVC,full,ACC,14.0,23
SVC,full,ACC,15.0,17
SVC,full,ACC,17.0,11
SVC,full,ACC,16.0,11
SVC,full,ACC,19.0,10
SVC,full,ACC,18.0,9
SVC,full,ACC,22.0,8
SVC,full,ACC,20.0,8
SVC,full,ACC,23.0,6
SVC,full,ACC,21.0,6
SVC,full,ACC,24.0,6
SVC,full,ACC,25.0,4
SVC,full,ACC,29.0,3
SVC,full,ACC,27.0,2
SVC,full,ACC,26.0,2
SVC,full,ACC,28.0,1
SVC,full,AUC,1.0,44
SVC,full,AUC,4.0,39
SVC,full,AUC,12.0,36
SVC,full,AUC,11.0,31
SVC,full,AUC,10.0,31
SVC,full,AUC,6.0,30
SVC,full,AUC,3.0,29
SVC,full,AUC,9.0,29
SVC,full,AUC,8.0,28
SVC,full,AUC,13.0,25
SVC,full,AUC,0.0,23
SVC,full,AUC,2.0,22
SVC,full,AUC,19.0,21
SVC,full,AUC,7.0,21
SVC,full,AUC,15.0,20
SVC,full,AUC,5.0,18
SVC,full,AUC,14.0,17
SVC,full,AUC,16.0,15
SVC,full,AUC,18.0,14
SVC,full,AUC,17.0,13
SVC,full,AUC,20.0,12
SVC,full,AUC,21.0,11
SVC,full,AUC,25.0,8
SVC,full,AUC,22.0,8
SVC,full,AUC,24.0,7
SVC,full,AUC,23.0,7
SVC,full,AUC,28.0,6
SVC,full,AUC,26.0,4
SVC,full,AUC,27.0,4
SVC,full,AUC,29.0,2
SVC,full,AUC,30.0,1
SVC,full,F1,0.0,58
SVC,full,F1,1.0,46
SVC,full,F1,5.0,37
SVC,full,F1,13.0,32
SVC,full,F1,10.0,29
SVC,full,F1,2.0,28
SVC,full,F1,11.0,28
SVC,full,F1,6.0,26
SVC,full,F1,12.0,25
SVC,full,F1,18.0,25
SVC,full,F1,7.0,25
SVC,full,F1,19.0,25
SVC,full,F1,4.0,25
SVC,full,F1,9.0,25
SVC,full,F1,14.0,24
SVC,full,F1,3.0,22
SVC,full,F1,8.0,21
SVC,full,F1,16.0,21
SVC,full,F1,20.0,20
SVC,full,F1,15.0,20
SVC,full,F1,17.0,20
SVC,full,F1,22.0,18
SVC,full,F1,23.0,15
SVC,full,F1,24.0,12
SVC,full,F1,21.0,11
SVC,full,F1,25.0,9
SVC,full,F1,26.0,8
SVC,full,F1,27.0,6
SVC,full,F1,28.0,4
SVC,full,F1,29.0,2
SVC,full,F1,30.0,2
SVC,full,F1,31.0,1
SVC,no,ACC,0.0,184
SVC,no,ACC,2.0,122
SVC,no,ACC,9.0,66
SVC,no,ACC,4.0,61
SVC,no,ACC,7.0,51
SVC,no,ACC,3.0,49
SVC,no,ACC,10.0,48
SVC,no,ACC,5.0,48
SVC,no,ACC,6.0,46
SVC,no,ACC,1.0,45
SVC,no,ACC,8.0,41
SVC,no,ACC,11.0,32
SVC,no,ACC,13.0,31
SVC,no,ACC,12.0,24
SVC,no,ACC,14.0,24
SVC,no,ACC,17.0,21
SVC,no,ACC,15.0,21
SVC,no,ACC,18.0,20
SVC,no,ACC,16.0,18
SVC,no,ACC,21.0,17
SVC,no,ACC,19.0,16
SVC,no,ACC,20.0,15
SVC,no,ACC,22.0,11
SVC,no,ACC,23.0,9
SVC,no,ACC,24.0,8
SVC,no,ACC,25.0,8
SVC,no,ACC,26.0,7
SVC,no,ACC,27.0,5
SVC,no,ACC,29.0,4
SVC,no,ACC,28.0,4
SVC,no,ACC,30.0,1
SVC,no,AUC,0.0,182
SVC,no,AUC,2.0,125
SVC,no,AUC,1.0,78
SVC,no,AUC,4.0,74
SVC,no,AUC,11.0,51
SVC,no,AUC,13.0,45
SVC,no,AUC,3.0,41
SVC,no,AUC,10.0,41
SVC,no,AUC,9.0,40
SVC,no,AUC,6.0,40
SVC,no,AUC,5.0,39
SVC,no,AUC,12.0,39
SVC,no,AUC,7.0,38
SVC,no,AUC,8.0,37
SVC,no,AUC,17.0,31
SVC,no,AUC,14.0,30
SVC,no,AUC,15.0,29
SVC,no,AUC,16.0,28
SVC,no,AUC,19.0,23
SVC,no,AUC,18.0,23
SVC,no,AUC,20.0,22
SVC,no,AUC,23.0,19
SVC,no,AUC,21.0,19
SVC,no,AUC,22.0,17
SVC,no,AUC,24.0,16
SVC,no,AUC,25.0,15
SVC,no,AUC,26.0,13
SVC,no,AUC,27.0,8
SVC,no,AUC,28.0,7
SVC,no,AUC,29.0,6
SVC,no,AUC,30.0,4
SVC,no,AUC,31.0,2
SVC,no,F1,0.0,195
SVC,no,F1,1.0,99
SVC,no,F1,2.0,74
SVC,no,F1,3.0,56
SVC,no,F1,4.0,56
SVC,no,F1,7.0,50
SVC,no,F1,10.0,48
SVC,no,F1,11.0,43
SVC,no,F1,13.0,42
SVC,no,F1,8.0,38
SVC,no,F1,5.0,37
SVC,no,F1,9.0,35
SVC,no,F1,6.0,33
SVC,no,F1,12.0,29
SVC,no,F1,15.0,28
SVC,no,F1,16.0,28
SVC,no,F1,17.0,27
SVC,no,F1,14.0,25
SVC,no,F1,19.0,21
SVC,no,F1,20.0,18
SVC,no,F1,18.0,18
SVC,no,F1,21.0,16
SVC,no,F1,22.0,16
SVC,no,F1,23.0,15
SVC,no,F1,25.0,14
SVC,no,F1,24.0,14
SVC,no,F1,26.0,13
SVC,no,F1,27.0,9
SVC,no,F1,28.0,7
SVC,no,F1,29.0,6
SVC,no,F1,30.0,5
SVC,no,F1,31.0,2
