model,tuning,scoring,rank,count
DTC,model,F1,15.0,32
DTC,model,F1,12.0,31
DTC,model,F1,23.0,28
DTC,model,F1,18.0,28
DTC,model,F1,20.0,27
DTC,model,F1,22.0,24
DTC,model,F1,24.0,19
DTC,model,F1,25.0,18
DTC,model,F1,26.0,15
DTC,model,F1,27.0,12
DTC,model,F1,28.0,8
DTC,model,F1,29.0,5
DTC,model,F1,30.0,4
DTC,model,F1,31.0,1
DTC,no,ACC,0.0,233
DTC,no,ACC,1.0,113
DTC,no,ACC,2.0,59
DTC,no,ACC,4.0,54
DTC,no,ACC,5.0,50
DTC,no,ACC,8.0,48
DTC,no,ACC,7.0,47
DTC,no,ACC,10.0,44
DTC,no,ACC,6.0,44
DTC,no,ACC,9.0,40
DTC,no,ACC,3.0,38
DTC,no,ACC,13.0,36
DTC,no,ACC,15.0,35
DTC,no,ACC,11.0,32
DTC,no,ACC,12.0,32
DTC,no,ACC,14.0,28
DTC,no,ACC,16.0,28
DTC,no,ACC,18.0,27
DTC,no,ACC,17.0,27
DTC,no,ACC,19.0,23
DTC,no,ACC,20.0,22
DTC,no,ACC,23.0,20
DTC,no,ACC,22.0,19
DTC,no,ACC,21.0,18
DTC,no,ACC,24.0,14
DTC,no,ACC,25.0,12
DTC,no,ACC,26.0,11
DTC,no,ACC,27.0,11
DTC,no,ACC,28.0,7
DTC,no,ACC,29.0,6
DTC,no,ACC,30.0,3
DTC,no,ACC,31.0,1
DTC,no,AUC,0.0,241
DTC,no,AUC,1.0,94
DTC,no,AUC,2.0,77
DTC,no,AUC,10.0,51
DTC,no,AUC,8.0,46
DTC,no,AUC,5.0,41
DTC,no,AUC,4.0,40
DTC,no,AUC,7.0,38
DTC,no,AUC,16.0,38
DTC,no,AUC,15.0,37
DTC,no,AUC,3.0,36
DTC,no,AUC,17.0,35
DTC,no,AUC,11.0,35
DTC,no,AUC,9.0,34
DTC,no,AUC,6.0,33
DTC,no,AUC,12.0,31
DTC,no,AUC,13.0,31
DTC,no,AUC,14.0,29
DTC,no,AUC,18.0,26
DTC,no,AUC,19.0,26
DTC,no,AUC,20.0,25
DTC,no,AUC,22.0,22
DTC,no,AUC,21.0,22
DTC,no,AUC,24.0,22
DTC,no,AUC,23.0,21
DTC,no,AUC,25.0,20
DTC,no,AUC,26.0,19
DTC,no,AUC,27.0,14
DTC,no,AUC,28.0,11
DTC,no,AUC,29.0,8
DTC,no,AUC,30.0,7
DTC,no,AUC,31.0,1
DTC,no,F1,0.0,172
DTC,no,F1,1.0,59
DTC,no,F1,15.0,45
DTC,no,F1,16.0,42
DTC,no,F1,9.0,41
DTC,no,F1,2.0,40
DTC,no,F1,3.0,39
DTC,no,F1,4.0,39
DTC,no,F1,6.0,37
DTC,no,F1,13.0,37
DTC,no,F1,7.0,37
DTC,no,F1,12.0,34
DTC,no,F1,5.0,34
DTC,no,F1,8.0,33
DTC,no,F1,10.0,30
DTC,no,F1,14.0,29
DTC,no,F1,11.0,28
DTC,no,F1,17.0,27
DTC,no,F1,18.0,25
DTC,no,F1,19.0,25
DTC,no,F1,20.0,24
DTC,no,F1,21.0,23
DTC,no,F1,22.0,20
DTC,no,F1,23.0,20
DTC,no,F1,24.0,18
DTC,no,F1,25.0,18
DTC,no,F1,26.0,17
DTC,no,F1,27.0,14
DTC,no,F1,28.0,10
DTC,no,F1,29.0,5
DTC,no,F1,30.0,4
KNC,full,ACC,0.0,49
KNC,full,ACC,1.0,43
KNC,full,ACC,6.0,43
KNC,full,ACC,4.0,39
KNC,full,ACC,2.0,31
KNC,full,ACC,13.0,22
KNC,full,ACC,5.0,21
KNC,full,ACC,7.0,20
KNC,full,ACC,3.0,20
KNC,full,ACC,16.0,19
KNC,full,ACC,15.0,19
KNC,full,ACC,8.0,19
KNC,full,ACC,11.0,16
KNC,full,ACC,10.0,16
KNC,full,ACC,14.0,14
KNC,full,ACC,9.0,13
KNC,full,ACC,12.0,12
KNC,full,ACC,17.0,10
KNC,full,ACC,19.0,10
KNC,full,ACC,20.0,8
KNC,full,ACC,18.0,8
KNC,full,ACC,21.0,5
KNC,full,ACC,23.0,4
KNC,full,ACC,22.0,4
KNC,full,ACC,24.0,3
KNC,full,ACC,25.0,2
KNC,full,ACC,26.0,2
KNC,full,ACC,27.0,2
KNC,full,ACC,28.0,2
KNC,full,ACC,29.0,2
KNC,full,ACC,31.0,1
KNC,full,ACC,30.0,1
KNC,full,AUC,6.0,53
KNC,full,AUC,9.0,38
KNC,full,AUC,0.0,37
KNC,full,AUC,3.0,30
KNC,full,AUC,14.0,29
KNC,full,AUC,1.0,28
KNC,full,AUC,7.0,28
KNC,full,AUC,10.0,27
KNC,full,AUC,17.0,25
KNC,full,AUC,15.0,24
KNC,full,AUC,8.0,24
KNC,full,AUC,5.0,24
KNC,full,AUC,2.0,23
KNC,full,AUC,4.0,22
KNC,full,AUC,11.0,22
KNC,full,AUC,12.0,21
KNC,full,AUC,19.0,21
KNC,full,AUC,13.0,20
KNC,full,AUC,21.0,19
KNC,full,AUC,20.0,19
KNC,full,AUC,16.0,18
KNC,full,AUC,18.0,18
KNC,full,AUC,22.0,18
KNC,full,AUC,24.0,16
KNC,full,AUC,23.0,15
KNC,full,AUC,25.0,14
KNC,full,AUC,26.0,14
KNC,full,AUC,27.0,8
KNC,full,AUC,28.0,7
KNC,full,AUC,29.0,5
KNC,full,AUC,30.0,3
KNC,full,AUC,31.0,2
KNC,full,F1,0.0,73
KNC,full,F1,1.0,46
KNC,full,F1,6.0,46
KNC,full,F1,15.0,43
KNC,full,F1,7.0,42
KNC,full,F1,8.0,33
KNC,full,F1,3.0,33
KNC,full,F1,5.0,32
KNC,full,F1,2.0,28
KNC,full,F1,9.0,28
KNC,full,F1,16.0,28
KNC,full,F1,4.0,26
KNC,full,F1,17.0,26
KNC,full,F1,10.0,25
KNC,full,F1,12.0,25
KNC,full,F1,19.0,23
KNC,full,F1,11.0,23
KNC,full,F1,13.0,22
KNC,full,F1,14.0,21
KNC,full,F1,18.0,20
KNC,full,F1,22.0,20
KNC,full,F1,20.0,19
KNC,full,F1,21.0,18
KNC,full,F1,24.0,16
KNC,full,F1,23.0,16
KNC,full,F1,26.0,15
KNC,full,F1,25.0,15
KNC,full,F1,27.0,12
KNC,full,F1,28.0,10
KNC,full,F1,29.0,8
KNC,full,F1,30.0,6
KNC,full,F1,31.0,2
KNC,model,ACC,1.0,85
KNC,model,ACC,0.0,77
KNC,model,ACC,7.0,60
KNC,model,ACC,3.0,50
KNC,model,ACC,6.0,48
KNC,model,ACC,2.0,40
KNC,model,ACC,5.0,39
KNC,model,ACC,4.0,39
KNC,model,ACC,13.0,37
KNC,model,ACC,8.0,35
KNC,model,ACC,9.0,35
KNC,model,ACC,11.0,35
KNC,model,ACC,16.0,34
KNC,model,ACC,18.0,33
KNC,model,ACC,12.0,33
KNC,model,ACC,10.0,33
KNC,model,ACC,17.0,32
KNC,model,ACC,14.0,31
KNC,model,ACC,15.0,30
KNC,model,ACC,20.0,23
KNC,model,ACC,19.0,22
KNC,model,ACC,21.0,20
KNC,model,ACC,23.0,20
KNC,model,ACC,22.0,18
KNC,model,ACC,24.0,12
KNC,model,ACC,25.0,10
KNC,model,ACC,26.0,8
KNC,model,ACC,27.0,7
KNC,model,ACC,28.0,5
KNC,model,ACC,29.0,5
KNC,model,ACC,30.0,3
KNC,model,ACC,31.0,1
KNC,model,AUC,5.0,69
KNC,model,AUC,0.0,58
KNC,model,AUC,1.0,58
KNC,model,AUC,6.0,44
KNC,model,AUC,17.0,44
